SORTING BENCHMARK RESULTS

Data set: random | n = 10 | repetitions = 200000
Cocktail Shaker Sort | skipped | skipped | 0
Gnome Sort | skipped | skipped | 0

Data set: random | n = 10000000 | repetitions = 1
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | skipped | skipped | 0
Selection Sort | skipped | skipped | 0
Bubble Sort | skipped | skipped | 0
Merge Sort | 1.471000000 | 1.471000000000e+00 | 1
Quick Sort | skipped | skipped | 0
Shell Sort | 133.334000000 | 1.333340000000e+02 | 1
Count Sort | 0.025000000 | 2.500000000000e-02 | 1
Cocktail Shaker Sort | skipped | skipped | 0
Gnome Sort | skipped | skipped | 0

Data set: sorted | n = 10 | repetitions = 200000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.004000000 | 2.000000000000e-08 | 200000
Selection Sort | 0.013000000 | 6.500000000000e-08 | 200000
Bubble Sort | 0.012000000 | 6.000000000000e-08 | 200000
Merge Sort | 0.065000000 | 3.250000000000e-07 | 200000
Quick Sort | 0.027000000 | 1.350000000000e-07 | 200000
Shell Sort | 0.009000000 | 4.500000000000e-08 | 200000
Count Sort | 0.013000000 | 6.500000000000e-08 | 200000
Cocktail Shaker Sort | 0.003000000 | 1.500000000000e-08 | 200000
Gnome Sort | 0.003000000 | 1.500000000000e-08 | 200000

Data set: sorted | n = 20 | repetitions = 100000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.004000000 | 4.000000000000e-08 | 100000
Selection Sort | 0.025000000 | 2.500000000000e-07 | 100000
Bubble Sort | 0.026000000 | 2.600000000000e-07 | 100000
Merge Sort | 0.070000000 | 7.000000000000e-07 | 100000
Quick Sort | 0.045000000 | 4.500000000000e-07 | 100000
Shell Sort | 0.012000000 | 1.200000000000e-07 | 100000
Count Sort | 0.010000000 | 1.000000000000e-07 | 100000
Cocktail Shaker Sort | 0.002000000 | 2.000000000000e-08 | 100000
Gnome Sort | 0.003000000 | 3.000000000000e-08 | 100000

Data set: sorted | n = 50 | repetitions = 50000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.004000000 | 8.000000000000e-08 | 50000
Selection Sort | 0.068000000 | 1.360000000000e-06 | 50000
Bubble Sort | 0.103000000 | 2.060000000000e-06 | 50000
Merge Sort | 0.098000000 | 1.960000000000e-06 | 50000
Quick Sort | 0.124000000 | 2.480000000000e-06 | 50000
Shell Sort | 0.016000000 | 3.200000000000e-07 | 50000
Count Sort | 0.011000000 | 2.200000000000e-07 | 50000
Cocktail Shaker Sort | 0.002000000 | 4.000000000000e-08 | 50000
Gnome Sort | 0.003000000 | 6.000000000000e-08 | 50000

Data set: sorted | n = 100 | repetitions = 20000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.003000000 | 1.500000000000e-07 | 20000
Selection Sort | 0.091000000 | 4.550000000000e-06 | 20000
Bubble Sort | 0.151000000 | 7.550000000000e-06 | 20000
Merge Sort | 0.084000000 | 4.200000000000e-06 | 20000
Quick Sort | 0.180000000 | 9.000000000000e-06 | 20000
Shell Sort | 0.013000000 | 6.500000000000e-07 | 20000
C
