algorithm,data_distribution,n,repetitions_requested,repetitions_completed,complexity,status,time_limit_seconds,total_time_seconds,average_time_seconds
Gnome Sort,almost_sorted,20,100000,100000,quadratic,ok,60.00,0.141000000,1.410000000000e-06
Insertion Sort,almost_sorted,50,50000,50000,quadratic,ok,60.00,0.081000000,1.620000000000e-06
Selection Sort,almost_sorted,50,50000,50000,quadratic,ok,60.00,0.123000000,2.460000000000e-06
Bubble Sort,almost_sorted,50,50000,50000,quadratic,ok,60.00,0.150000000,3.000000000000e-06
Merge Sort,almost_sorted,50,50000,50000,general,ok,120.00,0.176000000,3.520000000000e-06
Quick Sort,almost_sorted,50,50000,50000,quick,ok,10.00,1.501000000,3.002000000000e-05
Shell Sort,almost_sorted,50,50000,50000,general,ok,120.00,0.261000000,5.220000000000e-06
Count Sort,almost_sorted,50,50000,50000,general,ok,120.00,0.017000000,3.400000000000e-07
Cocktail Shaker Sort,almost_sorted,50,50000,50000,quadratic,ok,60.00,0.020000000,4.000000000000e-07
Gnome Sort,almost_sorted,50,50000,50000,quadratic,ok,60.00,0.282000000,5.640000000000e-06
Insertion Sort,almost_sorted,100,20000,20000,quadratic,ok,60.00,0.068000000,3.400000000000e-06
Selection Sort,almost_sorted,100,20000,20000,quadratic,ok,60.00,0.136000000,6.800000000000e-06
Bubble Sort,almost_sorted,100,20000,20000,quadratic,ok,60.00,0.188000000,9.400000000000e-06
Merge Sort,almost_sorted,100,20000,20000,general,ok,120.00,0.146000000,7.300000000000e-06
Quick Sort,almost_sorted,100,20000,20000,quick,ok,10.00,1.614000000,8.070000000000e-05
Shell Sort,almost_sorted,100,20000,20000,general,ok,120.00,0.260000000,1.300000000000e-05
Count Sort,almost_sorted,100,20000,20000,general,ok,120.00,0.012000000,6.000000000000e-07
Cocktail Shaker Sort,almost_sorted,100,20000,20000,quadratic,ok,60.00,0.029000000,1.450000000000e-06
Gnome Sort,almost_sorted,100,20000,20000,quadratic,ok,60.00,0.461000000,2.305000000000e-05
Insertion Sort,almost_sorted,1000,2000,2000,quadratic,ok,60.00,0.121000000,6.050000000000e-05
Selection Sort,almost_sorted,1000,2000,2000,quadratic,ok,60.00,0.762000000,3.810000000000e-04
Bubble Sort,almost_sorted,1000,2000,2000,quadratic,ok,60.00,1.208000000,6.040000000000e-04
Merge Sort,almost_sorted,1000,2000,2000,general,ok,120.00,0.169000000,8.450000000000e-05
Quick Sort,almost_sorted,1000,2000,2000,quick,ok,10.00,2.473000000,1.236500000000e-03
Shell Sort,almost_sorted,1000,2000,2000,general,ok,120.00,0.451000000,2.255000000000e-04
Count Sort,almost_sorted,1000,2000,2000,general,ok,120.00,0.006000000,3.000000000000e-06
Cocktail Shaker Sort,almost_sorted,1000,2000,2000,quadratic,ok,60.00,0.182000000,9.100000000000e-05
Gnome Sort,almost_sorted,1000,2000,2000,quadratic,ok,60.00,3.994000000,1.997000000000e-03
Insertion Sort,almost_sorted,10000,50,50,quadratic,ok,60.00,0.159000000,3.180000000000e-03
Selection Sort,almost_sorted,10000,50,50,quadratic,ok,60.00,1.772000000,3.544000000000e-02
Bubble Sort,almost_sorted,10000,50,50,quadratic,ok,60.00,2.603000000,5.206000000000e-02
Merge Sort,almost_sorted,10000,50,50,general,ok,120.00,0.047000000,9.400000000000e-04
Quick Sort,almost_sorted,10000,50,50,quick,ok,10.00,0.951000000,1.902000000000e-02
Shell Sort,almost_sorted,10000,50,50,general,ok,120.00,0.135000000,2.700000000000e-03
Count Sort,almost_sorted,10000,50,50,general,ok,120.00,0.001000000,2.000000000000e-05
Cocktail Shaker Sort,almost_sorted,10000,50,50,quadratic,ok,60.00,0.386000000,7.720000000000e-03
Gnome Sort,almost_sorted,10000,50,50,quadratic,ok,60.00,10.092000000,2.018400000000e-01
Insertion Sort,almost_sorted,100000,10,10,quadratic,ok,60.00,0.847000000,8.470000000000e-02
Selection Sort,almost_sorted,100000,10,10,quadratic,ok,60.00,36.574000000,3.657400000000e+00
Bubble Sort,almost_sorted,100000,10,10,quadratic,ok,60.00,42.048000000,4.204800000000e+00
Merge Sort,almost_sorted,100000,10,10,general,ok,120.00,0.102000000,1.020000000000e-02
Quick Sort,almost_sorted,100000,10,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,almost_sorted,100000,10,10,general,ok,120.00,0.261000000,2.610000000000e-02
Count Sort,almost_sorted,100000,10,10,general,ok,120.00,0.005000000,5.000000000000e-04
Cocktail Shaker Sort,almost_sorted,100000,10,10,quadratic,ok,60.00,4.465000000,4.465000000000e-01
Gnome Sort,almost_sorted,100000,10,10,quadratic,ok,60.00,56.063000000,5.606300000000e+00
Insertion Sort,almost_sorted,1000000,1,1,quadratic,ok,60.00,0.277000000,2.770000000000e-01
Selection Sort,almost_sorted,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Bubble Sort,almost_sorted,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Merge Sort,almost_sorted,1000000,1,1,general,ok,120.00,0.103000000,1.030000000000e-01
Quick Sort,almost_sorted,1000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,almost_sorted,1000000,1,1,general,ok,120.00,0.259000000,2.590000000000e-01
Count Sort,almost_sorted,1000000,1,1,general,ok,120.00,0.003000000,3.000000000000e-03
Cocktail Shaker Sort,almost_sorted,1000000,1,1,quadratic,ok,60.00,12.638000000,1.263800000000e+01
Gnome Sort,almost_sorted,1000000,1,1,quadratic,ok,60.00,16.895000000,1.689500000000e+01
Insertion Sort,almost_sorted,5000000,1,1,quadratic,ok,60.00,0.416000000,4.160000000000e-01
Selection Sort,almost_sorted,5000000,1,1,quadratic,time_limit_reached,60.00,60.002000000,6.000200000000e+01
Bubble Sort,almost_sorted,5000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Merge Sort,almost_sorted,5000000,1,1,general,ok,120.00,0.544000000,5.440000000000e-01
Quick Sort,almost_sorted,5000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,almost_sorted,5000000,1,1,general,ok,120.00,1.286000000,1.286000000000e+00
Count Sort,almost_sorted,5000000,1,1,general,ok,120.00,0.019000000,1.900000000000e-02
Cocktail Shaker Sort,almost_sorted,5000000,1,1,quadratic,time_limit_reached,60.00,328.041000000,3.280410000000e+02
Gnome Sort,almost_sorted,5000000,1,1,quadratic,ok,60.00,16.947000000,1.694700000000e+01
Insertion Sort,almost_sorted,10000000,1,1,quadratic,ok,60.00,0.523000000,5.230000000000e-01
Selection Sort,almost_sorted,10000000,1,1,quadratic,time_limit_reached,60.00,60.002000000,6.000200000000e+01
Bubble Sort,almost_sorted,10000000,1,1,quadratic,time_limit_reached,60.00,60.004000000,6.000400000000e+01
Merge Sort,almost_sorted,10000000,1,1,general,ok,120.00,2.007000000,2.007000000000e+00
Quick Sort,almost_sorted,10000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,almost_sorted,10000000,1,1,general,ok,120.00,3.789000000,3.789000000000e+00
Count Sort,almost_sorted,10000000,1,1,general,ok,120.00,0.078000000,7.800000000000e-02
Cocktail Shaker Sort,almost_sorted,10000000,1,1,quadratic,time_limit_reached,60.00,60.017000000,6.001700000000e+01
Gnome Sort,almost_sorted,10000000,1,1,quadratic,ok,60.00,17.562000000,1.756200000000e+01
Insertion Sort,flat,10,200000,200000,quadratic,ok,60.00,0.061000000,3.050000000000e-07
Selection Sort,flat,10,200000,200000,quadratic,ok,60.00,0.074000000,3.700000000000e-07
Bubble Sort,flat,10,200000,200000,quadratic,ok,60.00,0.081000000,4.050000000000e-07
Merge Sort,flat,10,200000,200000,general,ok,120.00,0.136000000,6.800000000000e-07
Quick Sort,flat,10,200000,200000,quick,ok,10.00,0.215000000,1.075000000000e-06
Shell Sort,flat,10,200000,200000,general,ok,120.00,0.111000000,5.550000000000e-07
Count Sort,flat,10,200000,200000,general,ok,120.00,0.037000000,1.850000000000e-07
Cocktail Shaker Sort,flat,10,200000,200000,quadratic,ok,60.00,0.051000000,2.550000000000e-07
Gnome Sort,flat,10,200000,200000,quadratic,ok,60.00,0.293000000,1.465000000000e-06
Insertion Sort,flat,20,100000,100000,quadratic,ok,60.00,0.070000000,7.000000000000e-07
Selection Sort,flat,20,100000,100000,quadratic,ok,60.00,0.084000000,8.400000000000e-07
Bubble Sort,flat,20,100000,100000,quadratic,ok,60.00,0.123000000,1.230000000000e-06
Merge Sort,flat,20,100000,100000,general,ok,120.00,0.151000000,1.510000000000e-06
Quick Sort,flat,20,100000,100000,quick,ok,10.00,0.307000000,3.070000000000e-06
Shell Sort,flat,20,100000,100000,general,ok,120.00,0.146000000,1.460000000000e-06
Count Sort,flat,20,100000,100000,general,ok,120.00,0.021000000,2.100000000000e-07
Cocktail Shaker Sort,flat,20,100000,100000,quadratic,ok,60.00,0.072000000,7.200000000000e-07
Gnome Sort,flat,20,100000,100000,quadratic,ok,60.00,0.540000000,5.400000000000e-06
Insertion Sort,flat,50,50000,50000,quadratic,ok,60.00,0.106000000,2.120000000000e-06
Selection Sort,flat,50,50000,50000,quadratic,ok,60.00,0.147000000,2.940000000000e-06
Bubble Sort,flat,50,50000,50000,quadratic,ok,60.00,0.247000000,4.940000000000e-06
Merge Sort,flat,50,50000,50000,general,ok,120.00,0.203000000,4.060000000000e-06
Quick Sort,flat,50,50000,50000,quick,ok,10.00,0.668000000,1.336000000000e-05
Shell Sort,flat,50,50000,50000,general,ok,120.00,0.277000000,5.540000000000e-06
Count Sort,flat,50,50000,50000,general,ok,120.00,0.011000000,2.200000000000e-07
Cocktail Shaker Sort,flat,50,50000,50000,quadratic,ok,60.00,0.192000000,3.840000000000e-06
Gnome Sort,flat,50,50000,50000,quadratic,ok,60.00,1.668000000,3.336000000000e-05
Insertion Sort,flat,100,20000,20000,quadratic,ok,60.00,0.103000000,5.150000000000e-06
Selection Sort,flat,100,20000,20000,quadratic,ok,60.00,0.158000000,7.900000000000e-06
Bubble Sort,flat,100,20000,20000,quadratic,ok,60.00,0.302000000,1.510000000000e-05
Merge Sort,flat,100,20000,20000,general,ok,120.00,0.171000000,8.550000000000e-06
Quick Sort,flat,100,20000,20000,quick,ok,10.00,0.863000000,4.315000000000e-05
Shell Sort,flat,100,20000,20000,general,ok,120.00,0.268000000,1.340000000000e-05
Count Sort,flat,100,20000,20000,general,ok,120.00,0.009000000,4.500000000000e-07
Cocktail Shaker Sort,flat,100,20000,20000,quadratic,ok,60.00,0.259000000,1.295000000000e-05
Gnome Sort,flat,100,20000,20000,quadratic,ok,60.00,2.620000000,1.310000000000e-04
Insertion Sort,flat,1000,2000,2000,quadratic,ok,60.00,0.442000000,2.210000000000e-04
Selection Sort,flat,1000,2000,2000,quadratic,ok,60.00,0.795000000,3.975000000000e-04
Bubble Sort,flat,1000,2000,2000,quadratic,ok,60.00,1.716000000,8.580000000000e-04
Merge Sort,flat,1000,2000,2000,general,ok,120.00,0.192000000,9.600000000000e-05
Quick Sort,flat,1000,2000,2000,quick,ok,10.00,6.741000000,3.370500000000e-03
Shell Sort,flat,1000,2000,2000,general,ok,120.00,0.449000000,2.245000000000e-04
Count Sort,flat,1000,2000,2000,general,ok,120.00,0.007000000,3.500000000000e-06
Cocktail Shaker Sort,flat,1000,2000,2000,quadratic,ok,60.00,1.375000000,6.875000000000e-04
Gnome Sort,flat,1000,2000,2000,quadratic,ok,60.00,37.005000000,1.850250000000e-02
Insertion Sort,flat,10000,50,50,quadratic,ok,60.00,1.785000000,3.570000000000e-02
Selection Sort,flat,10000,50,50,quadratic,ok,60.00,3.539000000,7.078000000000e-02
Bubble Sort,flat,10000,50,50,quadratic,ok,60.00,7.433000000,1.486600000000e-01
Merge Sort,flat,10000,50,50,general,ok,120.00,0.091000000,1.820000000000e-03
Quick Sort,flat,10000,50,22,quick,time_limit_reached,10.00,10.456000000,4.752727272727e-01
Shell Sort,flat,10000,50,50,general,ok,120.00,0.219000000,4.380000000000e-03
Count Sort,flat,10000,50,50,general,ok,120.00,0.003000000,6.000000000000e-05
Cocktail Shaker Sort,flat,10000,50,50,quadratic,ok,60.00,6.016000000,1.203200000000e-01
Gnome Sort,flat,10000,50,45,quadratic,time_limit_reached,60.00,60.799000000,1.351088888889e+00
Insertion Sort,flat,100000,10,10,quadratic,ok,60.00,18.899000000,1.889900000000e+00
Selection Sort,flat,100000,10,10,quadratic,ok,60.00,36.696000000,3.669600000000e+00
Bubble Sort,flat,100000,10,4,quadratic,time_limit_reached,60.00,72.205000000,1.805125000000e+01
Merge Sort,flat,100000,10,10,general,ok,120.00,0.112000000,1.120000000000e-02
Quick Sort,flat,100000,10,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,flat,100000,10,10,general,ok,120.00,0.301000000,3.010000000000e-02
Count Sort,flat,100000,10,10,general,ok,120.00,0.002000000,2.000000000000e-04
Cocktail Shaker Sort,flat,100000,10,6,quadratic,time_limit_reached,60.00,74.827000000,1.247116666667e+01
Gnome Sort,flat,100000,10,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Insertion Sort,flat,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Selection Sort,flat,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Bubble Sort,flat,1000000,1,1,quadratic,time_limit_reached,60.00,60.002000000,6.000200000000e+01
Merge Sort,flat,1000000,1,1,general,ok,120.00,0.119000000,1.190000000000e-01
Quick Sort,flat,1000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,flat,1000000,1,1,general,ok,120.00,0.768000000,7.680000000000e-01
Count Sort,flat,1000000,1,1,general,ok,120.00,0.003000000,3.000000000000e-03
Cocktail Shaker Sort,flat,1000000,1,1,quadratic,time_limit_reached,60.00,60.004000000,6.000400000000e+01
Gnome Sort,flat,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Insertion Sort,flat,5000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Selection Sort,flat,5000000,1,1,quadratic,time_limit_reached,60.00,60.003000000,6.000300000000e+01
Bubble Sort,flat,5000000,1,1,quadratic,time_limit_reached,60.00,60.004000000,6.000400000000e+01
Merge Sort,flat,5000000,1,1,general,ok,120.00,0.649000000,6.490000000000e-01
Quick Sort,flat,5000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,flat,5000000,1,1,general,ok,120.00,59.212000000,5.921200000000e+01
Count Sort,flat,5000000,1,1,general,ok,120.00,0.024000000,2.400000000000e-02
Cocktail Shaker Sort,flat,5000000,1,1,quadratic,time_limit_reached,60.00,60.039000000,6.003900000000e+01
Gnome Sort,flat,5000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Insertion Sort,flat,10000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Selection Sort,flat,10000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Bubble Sort,flat,10000000,1,1,quadratic,time_limit_reached,60.00,60.009000000,6.000900000000e+01
Merge Sort,flat,10000000,1,1,general,ok,120.00,2.239000000,2.239000000000e+00
Quick Sort,flat,10000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,flat,10000000,1,1,general,time_limit_reached,120.00,120.000000000,1.200000000000e+02
Count Sort,flat,10000000,1,1,general,ok,120.00,0.049000000,4.900000000000e-02
Cocktail Shaker Sort,flat,10000000,1,1,quadratic,time_limit_reached,60.00,60.001000000,6.000100000000e+01
Gnome Sort,flat,10000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
